gene_id	gene_name	npeaks_ve	npeaks_tx	npeaks_diff	fpkm_24h	fpkm_con	fpkm_diff
ENSG00000173638	SLC19A1	32	7	25	12.95	21.06	8.11
ENSG00000147324	MFHAS1	30	5	25	16.91	18.12	1.21
ENSG00000105426	PTPRS	29	4	25	29.92	30.59	0.669999999999998
ENSG00000198586	TLK1	29	4	25	38.61	40.78	2.17
ENSG00000022567	SLC45A4	29	4	25	3.19	4.17	0.98
ENSG00000175711	B3GNTL1	27	2	25	2.33	4.67	2.34
ENSG00000184640	SEPTIN9	30	6	24	95.06	98.72	3.66
ENSG00000075240	GRAMD4	28	4	24	3.79	4.5	0.71
ENSG00000171612	SLC25A33	27	3	24	14.93	15.73	0.800000000000001
ENSG00000174672	BRSK2	26	2	24	1.96	3.45	1.49
ENSG00000231607	DLEU2	25	1	24	1.32	2.43	1.11
ENSG00000088256	GNA11	25	1	24	26.29	31.47	5.18
ENSG00000261236	BOP1	25	1	24	42.68	51.85	9.17
ENSG00000140836	ZFHX3	47	24	23	6.58	6.93	0.35
ENSG00000183020	AP2A2	26	3	23	75.4	80.33	4.92999999999999
ENSG00000148411	NACC2	26	3	23	5.88	6.45	0.57
ENSG00000172009	THOP1	24	1	23	52.08	75.63	23.55
ENSG00000185619	PCGF3	23	0	23	19.97	23.74	3.77
ENSG00000169696	ASPSCR1	25	3	22	32.76	36.16	3.4
ENSG00000160299	PCNT	24	2	22	10.53	14.29	3.76
ENSG00000110660	SLC35F2	23	1	22	14.15	17.35	3.2
ENSG00000181409	AATK	23	1	22	0.97	2.23	1.26
ENSG00000142609	CFAP74	22	0	22	0.04	0.12	0.08
ENSG00000226321	CROCC2	24	3	21	0.25	0.27	0.02
ENSG00000130723	PRRC2B	24	3	21	97.23	106.38	9.14999999999999
ENSG00000285708	AC097634.4	23	2	21	0.3	0.67	0.37
ENSG00000163945	UVSSA	22	1	21	4.85	6.08	1.23
ENSG00000152700	SAR1B	22	1	21	29.07	38.97	9.9
ENSG00000076554	TPD52	22	1	21	103.62	153.84	50.22
ENSG00000096060	FKBP5	30	10	20	45.55	135.98	90.43
ENSG00000164828	SUN1	27	7	20	30.27	46.58	16.31
ENSG00000130402	ACTN4	25	5	20	153.12	158.36	5.24000000000001
ENSG00000068650	ATP11A	24	4	20	10.86	12.92	2.06
ENSG00000133275	CSNK1G2	24	4	20	69.64	72.77	3.13
ENSG00000090316	MAEA	21	1	20	24.09	35.02	10.93
ENSG00000103326	CAPN15	20	0	20	35.19	43.42	8.23
ENSG00000157637	SLC38A10	20	0	20	21.9	25.93	4.03
ENSG00000120549	KIAA1217	24	5	19	12.93	13.42	0.49
ENSG00000066735	KIF26A	23	4	19	0.34	0.58	0.24
ENSG00000197971	MBP	21	2	19	15.65	18.66	3.01
ENSG00000066230	SLC9A3	21	2	19	1.23	2.48	1.25
ENSG00000164877	MICALL2	21	2	19	5.24	9.67	4.43
ENSG00000130584	ZBTB46	20	1	19	1.35	1.69	0.34
ENSG00000141959	PFKL	20	1	19	43.2	50.9	7.7
ENSG00000168807	SNTB2	19	0	19	7.36	7.62	0.26
ENSG00000005206	SPPL2B	19	0	19	18.31	27.18	8.87
ENSG00000118007	STAG1	19	0	19	3.69	8.37	4.68
ENSG00000083307	GRHL2	38	20	18	38.73	59.36	20.63
ENSG00000126214	KLC1	28	10	18	27.49	29.31	1.82
ENSG00000095066	HOOK2	26	8	18	39.03	41.31	2.28
ENSG00000104728	ARHGEF10	24	6	18	8.63	12.09	3.46
ENSG00000058453	CROCC	23	5	18	3.26	4.9	1.64
ENSG00000182957	SPATA13	21	3	18	28.83	43.38	14.55
ENSG00000100478	AP4S1	21	3	18	0.9	0.97	0.07
ENSG00000104714	ERICH1	21	3	18	10.73	13.75	3.02
ENSG00000142230	SAE1	20	2	18	36.86	39.99	3.13
ENSG00000185024	BRF1	19	1	18	14.18	21.39	7.21
ENSG00000147799	ARHGAP39	19	1	18	4.19	4.58	0.39
ENSG00000141076	UTP4	18	0	18	34.54	44.96	10.42
ENSG00000103249	CLCN7	18	0	18	5.94	11.1	5.16
ENSG00000164808	SPIDR	18	0	18	29.27	31.52	2.25
ENSG00000167393	PPP2R3B	18	0	18	4.26	5.35	1.09
ENSG00000021762	OSBPL5	22	5	17	17.26	28.62	11.36
ENSG00000196576	PLXNB2	22	5	17	82.95	105.25	22.3
ENSG00000179832	MROH1	22	5	17	13.55	15.28	1.73
ENSG00000101187	SLCO4A1	21	4	17	16.1	21.9	5.8
ENSG00000165752	STK32C	20	3	17	15.81	16.21	0.4
ENSG00000233695	GAS6-AS1	20	3	17	5.87	8.9	3.03
ENSG00000104731	KLHDC4	20	3	17	15.24	17.9	2.66
ENSG00000116151	MORN1	18	1	17	2.86	3.69	0.83
ENSG00000107147	KCNT1	18	1	17	0.51	1.08	0.57
ENSG00000102935	ZNF423	17	0	17	0.02	0.22	0.2
ENSG00000176155	CCDC57	26	10	16	143.34	172.61	29.27
ENSG00000138771	SHROOM3	26	10	16	37.83	48.7	10.87
ENSG00000184916	JAG2	22	6	16	14.61	23.38	8.77
ENSG00000073910	FRY	21	5	16	16.44	26.98	10.54
ENSG00000163875	MEAF6	20	4	16	65.74	72.79	7.05000000000001
ENSG00000203485	INF2	20	4	16	19.83	25.97	6.14
ENSG00000103121	CMC2	20	4	16	77.43	112.69	35.26
ENSG00000267281	ATF7-NPFF	19	3	16	0.2	1.59	1.39
ENSG00000162104	ADCY9	19	3	16	4.68	5.07	0.390000000000001
ENSG00000127616	SMARCA4	17	1	16	68.44	80.08	11.64
ENSG00000131591	C1orf159	16	0	16	9.57	17.71	8.14
ENSG00000176124	DLEU1	16	0	16	8.26	9.4	1.14
ENSG00000053747	LAMA3	16	0	16	32.28	38.64	6.36
ENSG00000105229	PIAS4	16	0	16	19.21	24.19	4.98
ENSG00000106772	PRUNE2	24	9	15	71.65	80.69	9.03999999999999
ENSG00000171735	CAMTA1	20	5	15	43.45	49.28	5.83
ENSG00000167281	RBFOX3	20	5	15	0.12	0.43	0.31
ENSG00000197912	SPG7	19	4	15	28.37	28.74	0.369999999999997
ENSG00000104880	ARHGEF18	19	4	15	12.45	14.16	1.71
ENSG00000186153	WWOX	18	3	15	7.89	9.22	1.33
ENSG00000153944	MSI2	18	3	15	23.51	25.25	1.74
ENSG00000174915	PTDSS2	17	2	15	9.95	14.74	4.79
ENSG00000197757	HOXC6	17	2	15	14.15	25.29	11.14
ENSG00000197548	ATG7	17	2	15	6.89	7.34	0.45
ENSG00000136295	TTYH3	17	2	15	30.03	35.22	5.19
ENSG00000105997	HOXA3	17	2	15	1.25	1.89	0.64
ENSG00000150672	DLG2	16	1	15	1.59	1.86	0.27
ENSG00000226174	TEX22	16	1	15	0.87	0.9	0.03
ENSG00000070423	RNF126	16	1	15	73.14	74.08	0.939999999999998
ENSG00000146205	ANO7	16	1	15	6.32	11.46	5.14
ENSG00000188511	C22orf34	16	1	15	0.18	0.2	0.02
ENSG00000180900	SCRIB	16	1	15	38.77	45.45	6.68
ENSG00000132549	VPS13B	16	1	15	6.06	7.46	1.4
ENSG00000160075	SSU72	15	0	15	109.72	124.2	14.48
ENSG00000183495	EP400	15	0	15	8.52	11.66	3.14
ENSG00000263072	ZNF213-AS1	15	0	15	5.79	8.07	2.28
ENSG00000099331	MYO9B	15	0	15	11.95	19.22	7.27
ENSG00000125912	NCLN	15	0	15	35.08	56.43	21.35
ENSG00000198089	SFI1	15	0	15	11.28	14.22	2.94
ENSG00000078900	TP73	21	7	14	2.74	3.58	0.84
ENSG00000105662	CRTC1	21	7	14	18.89	22.26	3.37
ENSG00000144711	IQSEC1	19	5	14	11	13.36	2.36
ENSG00000151474	FRMD4A	18	4	14	3	4.28	1.28
ENSG00000188064	WNT7B	18	4	14	14.31	16.22	1.91
ENSG00000156802	ATAD2	18	4	14	21.94	54.46	32.52
ENSG00000140694	PARN	16	2	14	20.74	24.76	4.02
ENSG00000104687	GSR	16	2	14	118.82	121.01	2.19000000000001
ENSG00000196642	RABL6	15	1	14	51.78	56.84	5.06
ENSG00000285053	TBCE	14	0	14	3.18	4.29	1.11
ENSG00000142875	PRKACB	14	0	14	87.84	144.83	56.99
ENSG00000285283	AL035078.4	14	0	14	11.71	17.41	5.7
ENSG00000215182	MUC5AC	14	0	14	0.53	1.01	0.48
ENSG00000284512	AC092718.8	14	0	14	0.36	1.27	0.91
ENSG00000100726	TELO2	14	0	14	10.51	25.54	15.03
ENSG00000068878	PSME4	14	0	14	19.76	26.64	6.88
ENSG00000145734	BDP1	14	0	14	19.21	25.67	6.46
ENSG00000249319	AC068533.4	14	0	14	2.19	6.44	4.25
ENSG00000253438	PCAT1	22	9	13	4.28	5.87	1.59
ENSG00000142208	AKT1	19	6	13	112.69	119.89	7.2
ENSG00000100239	PPP6R2	19	6	13	14.36	21.01	6.65
ENSG00000189337	KAZN	17	4	13	2.04	2.42	0.38
ENSG00000139220	PPFIA2	17	4	13	43.82	49.85	6.03
ENSG00000029534	ANK1	17	4	13	0.16	0.59	0.43
ENSG00000108423	TUBD1	16	3	13	5.62	7.26	1.64
ENSG00000153395	LPCAT1	16	3	13	12.59	19.46	6.87
ENSG00000124789	NUP153	16	3	13	20.19	23.04	2.85
ENSG00000164818	DNAAF5	16	3	13	22.4	30.63	8.23
ENSG00000157214	STEAP2	16	3	13	69.45	117.02	47.57
ENSG00000141027	NCOR1	15	2	13	29.86	35.03	5.17
ENSG00000141956	PRDM15	15	2	13	3.53	4.64	1.11
ENSG00000105993	DNAJB6	15	2	13	39.49	46.34	6.85
ENSG00000197558	SSPO	15	2	13	2.15	2.91	0.76
ENSG00000285130	AL358113.1	15	2	13	1.07	3.37	2.3
ENSG00000148396	SEC16A	15	2	13	34.88	42.41	7.52999999999999
ENSG00000187147	RNF220	14	1	13	39.66	39.92	0.260000000000005
ENSG00000142606	MMEL1	14	1	13	26.43	28.05	1.62
ENSG00000111666	CHPT1	14	1	13	128.61	146.5	17.89
ENSG00000183092	BEGAIN	14	1	13	0.44	0.89	0.45
ENSG00000174469	CNTNAP2	14	1	13	1.53	2.17	0.64
ENSG00000117983	MUC5B	13	0	13	0.11	0.23	0.12
ENSG00000150967	ABCB9	13	0	13	2.9	3.22	0.32
ENSG00000187535	IFT140	13	0	13	4.24	4.74	0.5
ENSG00000125741	OPA3	13	0	13	3.08	3.82	0.74
ENSG00000105429	MEGF8	13	0	13	4.63	4.83	0.2
ENSG00000115840	SLC25A12	13	0	13	6.94	8.54	1.6
ENSG00000026036	RTEL1-TNFRSF6B	13	0	13	0.77	1.81	1.04
ENSG00000100346	CACNA1I	13	0	13	0.05	0.09	0.04
ENSG00000129116	PALLD	13	0	13	16.55	18.66	2.11
ENSG00000151726	ACSL1	13	0	13	73.8	87.94	14.14
ENSG00000113368	LMNB1	13	0	13	47.53	72.15	24.62
ENSG00000081853	PCDHGA2	13	0	13	0.06	0.07	0.01
ENSG00000242802	AP5Z1	13	0	13	4.34	4.74	0.4
ENSG00000196367	TRRAP	13	0	13	13.85	16.29	2.44
ENSG00000158169	FANCC	13	0	13	6.54	9.74	3.2
ENSG00000113645	WWC1	21	9	12	36.46	49.78	13.32
ENSG00000132388	UBE2G1	18	6	12	38.8	40.22	1.42
ENSG00000162341	TPCN2	17	5	12	1.67	3.98	2.31
ENSG00000214063	TSPAN4	17	5	12	12.22	17.66	5.44
ENSG00000144218	AFF3	17	5	12	14.54	17.44	2.9
ENSG00000038382	TRIO	17	5	12	10.38	15.17	4.79
ENSG00000196586	MYO6	17	5	12	29.6	46.99	17.39
ENSG00000204634	TBC1D8	16	4	12	13.23	14.7	1.47
ENSG00000243156	MICAL3	16	4	12	19.32	21.18	1.86
ENSG00000145214	DGKQ	16	4	12	9.38	11.08	1.7
ENSG00000063438	AHRR	16	4	12	0.27	0.83	0.56
ENSG00000152818	UTRN	16	4	12	21.84	33.71	11.87
ENSG00000163050	COQ8A	15	3	12	31.81	42.51	10.7
ENSG00000063978	RNF4	15	3	12	33.83	39.01	5.18
ENSG00000071205	ARHGAP10	15	3	12	4.16	7.3	3.14
ENSG00000139722	VPS37B	14	2	12	30.44	41.02	10.58
ENSG00000104154	SLC30A4	14	2	12	27.44	35.15	7.71
ENSG00000188897	AC099489.1	14	2	12	0.03	0.22	0.19
ENSG00000266714	MYO15B	14	2	12	6.72	12.28	5.56
ENSG00000197879	MYO1C	14	2	12	89.55	92.59	3.04000000000001
ENSG00000227392	HPN-AS1	14	2	12	0.41	1.51	1.1
ENSG00000160460	AC020929.1	14	2	12	2.46	2.58	0.12
ENSG00000245532	NEAT1	13	1	12	53.16	74.74	21.58
ENSG00000054654	SYNE2	13	1	12	14.63	18.5	3.87
ENSG00000065054	SLC9A3R2	13	1	12	66.86	91.41	24.55
ENSG00000007541	PIGQ	13	1	12	15.39	21.45	6.06
ENSG00000141577	CEP131	13	1	12	9.53	10.53	1
ENSG00000167693	NXN	13	1	12	10.96	11.43	0.469999999999999
ENSG00000198648	STK39	13	1	12	60.17	95.31	35.14
ENSG00000163939	PBRM1	13	1	12	15.09	16.92	1.83
ENSG00000109654	TRIM2	13	1	12	2.9	4.13	1.23
ENSG00000254369	HOXA-AS3	13	1	12	0.05	0.33	0.28
ENSG00000233621	LINC01137	12	0	12	1.08	1.86	0.78
ENSG00000285779	AL358472.7	12	0	12	2.04	2.67	0.63
ENSG00000067057	PFKP	12	0	12	44.35	71.8	27.45
ENSG00000130787	HIP1R	12	0	12	10.17	12.8	2.63
ENSG00000196663	TECPR2	12	0	12	1.56	3.81	2.25
ENSG00000174197	MGA	12	0	12	4.93	5.46	0.53
ENSG00000167880	EVPL	12	0	12	13.62	16.55	2.93
ENSG00000258366	RTEL1	12	0	12	5.5	10.11	4.61
ENSG00000159733	ZFYVE28	12	0	12	0.51	0.78	0.27
ENSG00000174137	FAM53A	12	0	12	0.87	2.28	1.41
ENSG00000253910	PCDHGB2	12	0	12	0.07	0.35	0.28
ENSG00000153404	PLEKHG4B	12	0	12	0.01	0.14	0.13
ENSG00000133401	PDZD2	12	0	12	0.47	0.64	0.17
ENSG00000172869	DMXL1	12	0	12	10.82	13.52	2.7
ENSG00000146555	SDK1	12	0	12	0.01	0.2	0.19
ENSG00000106012	IQCE	12	0	12	11.11	13.68	2.57
ENSG00000227646	STEAP2-AS1	12	0	12	0.63	0.65	0.02
ENSG00000198753	PLXNB3	12	0	12	35.42	40.91	5.48999999999999
ENSG00000102309	PIN4	12	0	12	19.84	20.12	0.280000000000001
ENSG00000133943	DGLUCY	19	8	11	8.97	11.82	2.85
ENSG00000196233	LCOR	17	6	11	10.8	11.74	0.94
ENSG00000129521	EGLN3	17	6	11	2.86	7.62	4.76
ENSG00000074054	CLASP1	16	5	11	6.55	7.34	0.79
ENSG00000113763	UNC5A	16	5	11	6.81	8.55	1.74
ENSG00000241058	NSUN6	15	4	11	4.28	9.26	4.98
ENSG00000170473	PYM1	15	4	11	21.81	36.3	14.49
ENSG00000005810	MYCBP2	15	4	11	34.9	40.09	5.19
ENSG00000153531	ADPRHL1	14	3	11	10.63	11.54	0.909999999999998
ENSG00000119685	TTLL5	14	3	11	25.02	27.87	2.85
ENSG00000159307	SCUBE1	14	3	11	0.19	0.37	0.18
ENSG00000112699	GMDS	14	3	11	23.46	23.92	0.460000000000001
ENSG00000064393	HIPK2	14	3	11	28.32	28.35	0.0300000000000011
ENSG00000123908	AGO2	14	3	11	15.81	21.21	5.4
ENSG00000147316	MCPH1	14	3	11	12.29	13.67	1.38
ENSG00000198105	ZNF248	13	2	11	4.1	7.74	3.64
ENSG00000171219	CDC42BPG	13	2	11	16.14	22.75	6.61
ENSG00000182185	RAD51B	13	2	11	5.05	6.77	1.72
ENSG00000179889	PDXDC1	13	2	11	31.01	37.64	6.63
ENSG00000074416	MGLL	13	2	11	13.05	17.23	4.18
ENSG00000124721	DNAH8	13	2	11	0.06	0.44	0.38
ENSG00000111846	GCNT2	13	2	11	2.31	3.25	0.94
ENSG00000189056	RELN	13	2	11	0.07	0.14	0.07
ENSG00000104626	ERI1	13	2	11	6.59	8.72	2.13
ENSG00000168575	SLC20A2	13	2	11	7.39	12	4.61
ENSG00000148120	AOPEP	13	2	11	1.92	2.18	0.26
ENSG00000086015	MAST2	12	1	11	16.45	19.51	3.06
ENSG00000198915	RASGEF1A	12	1	11	0.02	0.15	0.13
ENSG00000070047	PHRF1	12	1	11	12.66	14.25	1.59
ENSG00000198788	MUC2	12	1	11	0.37	0.4	0.03
ENSG00000131323	TRAF3	12	1	11	5.78	10.08	4.3
ENSG00000129910	CDH15	12	1	11	1.29	1.36	0.0700000000000001
ENSG00000131398	KCNC3	12	1	11	2.26	5.3	3.04
ENSG00000105289	TJP3	12	1	11	24.77	25.05	0.280000000000001
ENSG00000144366	GULP1	12	1	11	105.25	134.92	29.67
ENSG00000142185	TRPM2	12	1	11	10.57	18.69	8.12
ENSG00000185651	UBE2L3	12	1	11	40.63	43.8	3.16999999999999
ENSG00000163655	GMPS	12	1	11	77.16	88.32	11.16
ENSG00000243176	AC092944.1	12	1	11	0.42	0.54	0.12
ENSG00000133256	PDE6B	12	1	11	0.67	1.29	0.62
ENSG00000174473	GALNTL6	12	1	11	0.31	0.49	0.18
ENSG00000037280	FLT4	12	1	11	0.7	2.41	1.71
ENSG00000091127	PUS7	12	1	11	7.38	15.55	8.17
ENSG00000148814	LRRC27	11	0	11	7.26	8.1	0.84
ENSG00000111452	ADGRD1	11	0	11	2.08	2.53	0.45
ENSG00000118898	PPL	11	0	11	3.57	4.45	0.88
ENSG00000185359	HGS	11	0	11	51.89	74.88	22.99
ENSG00000064687	ABCA7	11	0	11	11.84	15.43	3.59
ENSG00000104951	IL4I1	11	0	11	0.39	1.35	0.96
ENSG00000183963	SMTN	11	0	11	45.24	56.42	11.18
ENSG00000175414	ARL10	11	0	11	0.01	0.02	0.01
ENSG00000253953	PCDHGB4	11	0	11	0.05	0.19	0.14
ENSG00000253731	PCDHGA6	11	0	11	0.04	0.08	0.04
ENSG00000230590	FTX	11	0	11	0.86	2.42	1.56
ENSG00000050767	COL23A1	20	10	10	0.09	0.55	0.46
ENSG00000141337	ARSG	17	7	10	8.61	15.97	7.36
ENSG00000101040	ZMYND8	16	6	10	9.52	16.98	7.46
ENSG00000161996	WDR90	14	4	10	21.78	40.32	18.54
ENSG00000092758	COL9A3	14	4	10	15.85	21.34	5.49
ENSG00000164855	TMEM184A	14	4	10	17.82	21.87	4.05
ENSG00000171914	TLN2	13	3	10	0.8	0.98	0.18
ENSG00000140948	ZCCHC14	13	3	10	9.71	10.23	0.52
ENSG00000156170	NDUFAF6	13	3	10	7.26	11.67	4.41
ENSG00000120690	ELF1	12	2	10	9.62	10.45	0.83
ENSG00000090565	RAB11FIP3	12	2	10	5.56	8.95	3.39
ENSG00000103275	UBE2I	12	2	10	162.37	165.02	2.65000000000001
ENSG00000161888	SPC24	12	2	10	27.32	41.02	13.7
ENSG00000136002	ARHGEF4	12	2	10	4.21	4.55	0.34
ENSG00000196132	MYT1	12	2	10	0.12	0.13	0.01
ENSG00000101191	DIDO1	12	2	10	15.53	17.8	2.27
ENSG00000205726	ITSN1	12	2	10	9.36	13.18	3.82
ENSG00000145087	STXBP5L	12	2	10	10.76	15.94	5.18
ENSG00000206573	THUMPD3-AS1	12	2	10	3.35	6.41	3.06
ENSG00000172493	AFF1	12	2	10	7.36	10.27	2.91
ENSG00000181163	NPM1	12	2	10	971.31	987.79	16.48
ENSG00000058404	CAMK2B	12	2	10	1.34	1.86	0.52
ENSG00000105953	OGDH	12	2	10	85.13	88.31	3.18000000000001
ENSG00000187210	GCNT1	12	2	10	19.5	22.77	3.27
ENSG00000171608	PIK3CD	11	1	10	12.18	12.93	0.75
ENSG00000143756	FBXO28	11	1	10	17.45	21.39	3.94
ENSG00000169813	HNRNPF	11	1	10	157.04	170.05	13.01
ENSG00000051825	MPHOSPH9	11	1	10	24.96	40.54	15.58
ENSG00000089094	KDM2B	11	1	10	12.26	13.12	0.859999999999999
ENSG00000052126	PLEKHA5	11	1	10	10.38	10.49	0.109999999999999
ENSG00000151338	MIPOL1	11	1	10	7.19	7.94	0.75
ENSG00000122490	SLC66A2	11	1	10	12.39	13.26	0.869999999999999
ENSG00000176619	LMNB2	11	1	10	33.7	56.57	22.87
ENSG00000127527	EPS15L1	11	1	10	47.16	48.15	0.990000000000002
ENSG00000266933	AC005775.1	11	1	10	0.14	0.16	0.02
ENSG00000099822	HCN2	11	1	10	1.34	1.52	0.18
ENSG00000130749	ZC3H4	11	1	10	3.83	11.81	7.98
ENSG00000171853	TRAPPC12	11	1	10	13.84	15.2	1.36
ENSG00000179242	CDH4	11	1	10	0.06	0.1	0.04
ENSG00000127946	HIP1	11	1	10	15.98	21.92	5.94
ENSG00000106018	VIPR2	11	1	10	0.31	0.34	0.03
ENSG00000127191	TRAF2	11	1	10	5.32	9.98	4.66
ENSG00000135749	PCNX2	10	0	10	8.56	12.42	3.86
ENSG00000197530	MIB2	10	0	10	15.5	22.88	7.38
ENSG00000162415	ZSWIM5	10	0	10	0.28	0.68	0.4
ENSG00000116213	WRAP73	10	0	10	11.49	11.73	0.24
ENSG00000235823	OLMALINC	10	0	10	5.31	9.58	4.27
ENSG00000175470	PPP2R2D	10	0	10	23.87	30.34	6.47
ENSG00000182208	MOB2	10	0	10	8.51	8.61	0.0999999999999996
ENSG00000050405	LIMA1	10	0	10	12.02	16.36	4.34
ENSG00000119661	DNAL1	10	0	10	3.44	5.53	2.09
ENSG00000166206	GABRB3	10	0	10	9.17	16.42	7.25
ENSG00000066044	ELAVL1	10	0	10	56.34	60.74	4.4
ENSG00000131409	LRRC4B	10	0	10	0.03	0.09	0.06
ENSG00000072071	ADGRL1	10	0	10	31.17	35.99	4.82
ENSG00000141837	CACNA1A	10	0	10	0.05	0.15	0.1
ENSG00000104881	PPP1R13L	10	0	10	10.09	11.33	1.24
ENSG00000180902	D2HGDH	10	0	10	8.17	15.27	7.1
ENSG00000025293	PHF20	10	0	10	18.44	18.9	0.459999999999997
ENSG00000156299	TIAM1	10	0	10	0.53	0.62	0.09
ENSG00000100403	ZC3H7B	10	0	10	17.84	18.97	1.13
ENSG00000100154	TTC28	10	0	10	3.03	3.19	0.16
ENSG00000078140	UBE2K	10	0	10	57.82	66.02	8.2
ENSG00000276547	PCDHGB5	10	0	10	0.15	0.19	0.04
ENSG00000171530	TBCA	10	0	10	160.08	168.78	8.69999999999999
ENSG00000146216	TTBK1	10	0	10	0.01	0.03	0.02
ENSG00000164889	SLC4A2	10	0	10	77.76	133.19	55.43
ENSG00000126870	WDR60	10	0	10	6.76	7.45	0.69
ENSG00000241258	CRCP	10	0	10	10.44	12.26	1.82
ENSG00000164850	GPER1	10	0	10	3.2	5.91	2.71
ENSG00000146830	GIGYF1	10	0	10	9.37	10.64	1.27
ENSG00000258724	PINX1	10	0	10	0.09	0.34	0.25
ENSG00000104205	SGK3	10	0	10	2.68	8.93	6.25
ENSG00000011454	RABGAP1	10	0	10	17.13	18.15	1.02
ENSG00000165661	QSOX2	10	0	10	13.67	14.03	0.359999999999999
ENSG00000072518	MARK2	18	9	9	22.24	22.88	0.640000000000001
ENSG00000122547	EEPD1	17	8	9	11.74	14.32	2.58
ENSG00000141526	SLC16A3	16	7	9	5.74	27.37	21.63
ENSG00000205356	TECPR1	16	7	9	8.26	14.95	6.69
ENSG00000076864	RAP1GAP	15	6	9	5.4	5.95	0.55
ENSG00000142002	DPP9	15	6	9	28.2	36.75	8.55
ENSG00000173473	SMARCC1	15	6	9	25.21	25.27	0.0599999999999987
ENSG00000159674	SPON2	14	5	9	358.4	362.46	4.06
ENSG00000116254	CHD5	12	3	9	0.22	0.43	0.21
ENSG00000187017	ESPN	12	3	9	5.66	6.63	0.97
ENSG00000117143	UAP1	12	3	9	73.46	98.3	24.84
ENSG00000108100	CCNY	12	3	9	22.15	24.61	2.46
ENSG00000173898	SPTBN2	12	3	9	41.39	55.76	14.37
ENSG00000169372	CRADD	12	3	9	6.03	8.58	2.55
ENSG00000170421	KRT8	12	3	9	150.01	167	16.99
ENSG00000104067	TJP1	12	3	9	85.07	97.27	12.2
ENSG00000185033	SEMA4B	12	3	9	15.11	17	1.89
ENSG00000182446	NPLOC4	12	3	9	34.93	42.79	7.86
ENSG00000196208	GREB1	12	3	9	4.02	9.04	5.02
ENSG00000125037	EMC3	12	3	9	13.28	21.37	8.09
ENSG00000183111	ARHGEF37	12	3	9	4.31	5.23	0.920000000000001
ENSG00000164494	PDSS2	12	3	9	7.76	7.88	0.12
ENSG00000182150	ERCC6L2	12	3	9	4.5	7.55	3.05
ENSG00000090020	SLC9A1	11	2	9	32	39.84	7.84
ENSG00000151640	DPYSL4	11	2	9	2.63	7.59	4.96
ENSG00000151062	CACNA2D4	11	2	9	0.35	0.4	0.05
ENSG00000182175	RGMA	11	2	9	0.61	1.04	0.43
