gene_id	gene_name	npeaks_ve	npeaks_tx	npeaks_diff	fpkm_sh4	fpkm_sh5	fpkm_sicon	fpkm_diff_sh4	fpkm_diff_sh5
ENSG00000167632	TRAPPC9	18	2	16	7.8	11.49	15.25	7.45	3.76
ENSG00000131591	C1orf159	16	0	16	11.83	14.93	15.36	3.53	0.43
ENSG00000126464	PRR12	16	0	16	13.35	19.42	21.86	8.51	2.44
ENSG00000171045	TSNARE1	16	0	16	7.34	7.22	9.68	2.34	2.46
ENSG00000061938	TNK2	24	9	15	53.99	54.72	57.65	3.66	2.93
ENSG00000156011	PSD3	23	8	15	7.58	7.12	7.71	0.13	0.59
ENSG00000133027	PEMT	22	7	15	51.72	50.35	65.09	13.37	14.74
ENSG00000167281	RBFOX3	20	5	15	0.04	0.07	0.32	0.28	0.25
ENSG00000133243	BTBD2	19	4	15	64.21	44.49	82.74	18.53	38.25
ENSG00000126705	AHDC1	18	3	15	6.87	10.64	13.67	6.8	3.03
ENSG00000186153	WWOX	18	3	15	8.32	7.69	9.72	1.4	2.03
ENSG00000153944	MSI2	18	3	15	26.18	27.18	27.66	1.48	0.48
ENSG00000090006	LTBP4	18	3	15	45.4	30.71	46.97	1.57	16.26
ENSG00000159267	HLCS	18	3	15	7.09	6.95	7.23	0.140000000000001	0.28
ENSG00000136295	TTYH3	17	2	15	17.65	27.44	39.52	21.87	12.08
ENSG00000105997	HOXA3	17	2	15	0.82	0.8	1.88	1.06	1.08
ENSG00000150672	DLG2	16	1	15	1.16	0.89	2.57	1.41	1.68
ENSG00000226174	TEX22	16	1	15	0.56	0.59	0.83	0.27	0.24
ENSG00000233101	HOXB-AS3	16	1	15	1.29	1.27	1.64	0.35	0.37
ENSG00000070423	RNF126	16	1	15	51.27	61.83	64.28	13.01	2.45
ENSG00000146205	ANO7	16	1	15	4.49	7.22	8.58	4.09	1.36
ENSG00000107902	LHPP	15	0	15	13.39	9.9	16.18	2.79	6.28
ENSG00000263072	ZNF213-AS1	15	0	15	7.51	6.66	10.29	2.78	3.63
ENSG00000078900	TP73	21	7	14	2.58	3.61	3.83	1.25	0.22
ENSG00000079805	DNM2	20	6	14	101.79	98.91	132.62	30.83	33.71
ENSG00000079432	CIC	15	1	14	12.76	14.02	20.1	7.34	6.08
ENSG00000197183	NOL4L	15	1	14	8.6	9.05	9.25	0.65	0.199999999999999
ENSG00000196642	RABL6	15	1	14	49.87	28.04	55.47	5.6	27.43
ENSG00000284512	AC092718.8	14	0	14	0.63	0.33	0.72	0.09	0.39
ENSG00000059122	FLYWCH1	14	0	14	15.44	15.92	16.53	1.09	0.610000000000001
ENSG00000145734	BDP1	14	0	14	21.74	25.3	25.64	3.9	0.34
ENSG00000102858	MGRN1	18	5	13	25.55	33.92	34.42	8.87	0.5
ENSG00000157214	STEAP2	16	3	13	103.37	106.9	112.4	9.03	5.5
ENSG00000184489	PTP4A3	16	3	13	6.55	10.85	17.51	10.96	6.66
ENSG00000183092	BEGAIN	14	1	13	0.94	1.15	1.52	0.58	0.37
ENSG00000142409	ZNF787	14	1	13	17.7	15.01	20.81	3.11	5.8
ENSG00000132005	RFX1	14	1	13	5.05	4.95	8.35	3.3	3.4
ENSG00000158321	AUTS2	14	1	13	4.88	5.37	7.61	2.73	2.24
ENSG00000187535	IFT140	13	0	13	4.54	4.71	4.87	0.33	0.16
ENSG00000171298	GAA	13	0	13	52.28	60.68	66.18	13.9	5.50000000000001
ENSG00000063245	EPN1	13	0	13	122.04	76.33	134.51	12.47	58.18
ENSG00000100346	CACNA1I	13	0	13	0.23	0.07	0.73	0.5	0.66
ENSG00000081853	PCDHGA2	13	0	13	0.05	0.08	0.17	0.12	0.09
ENSG00000270800	RPS10-NUDT3	13	0	13	19.27	12.75	21.46	2.19	8.71
ENSG00000185442	FAM174B	23	11	12	64.78	74.33	77.07	12.29	2.73999999999999
ENSG00000184012	TMPRSS2	21	9	12	319.77	384.55	407.66	87.89	23.11
ENSG00000113645	WWC1	21	9	12	45.34	46.47	54.69	9.34999999999999	8.22
ENSG00000137497	NUMA1	17	5	12	98.74	103.01	103.33	4.59	0.319999999999993
ENSG00000144218	AFF3	17	5	12	15.72	16.73	19.07	3.35	2.34
ENSG00000150347	ARID5B	16	4	12	7.88	6.18	9.65	1.77	3.47
ENSG00000135111	TBX3	14	2	12	95.49	115.99	121.32	25.83	5.33
ENSG00000139722	VPS37B	14	2	12	33.96	25.65	46.64	12.68	20.99
ENSG00000227392	HPN-AS1	14	2	12	0.99	0.38	1.51	0.52	1.13
ENSG00000245532	NEAT1	13	1	12	76.12	45.03	80.5	4.38	35.47
ENSG00000054654	SYNE2	13	1	12	23.57	20.07	24.46	0.890000000000001	4.39
ENSG00000081913	PHLPP1	13	1	12	5.4	5.59	6.86	1.46	1.27
ENSG00000126005	MMP24OS	13	1	12	123.82	200.67	229.14	105.32	28.47
ENSG00000127418	FGFRL1	13	1	12	81.13	69.25	91.06	9.93000000000001	21.81
ENSG00000233621	LINC01137	12	0	12	1.55	2.43	2.48	0.93	0.0499999999999998
ENSG00000180198	RCC1	12	0	12	173.09	175.76	235.94	62.85	60.18
ENSG00000139132	FGD4	12	0	12	4.46	3.41	5.48	1.02	2.07
ENSG00000130787	HIP1R	12	0	12	9.13	10.34	12.32	3.19	1.98
ENSG00000166183	ASPG	12	0	12	0.04	0.07	0.2	0.16	0.13
ENSG00000174197	MGA	12	0	12	3.95	4.37	4.66	0.71	0.29
ENSG00000141376	BCAS3	12	0	12	6.73	4.3	7.42	0.69	3.12
ENSG00000255730	AC011462.1	12	0	12	1.34	0.91	2.56	1.22	1.65
ENSG00000251322	SHANK3	12	0	12	3.02	3.36	4.28	1.26	0.92
ENSG00000159733	ZFYVE28	12	0	12	0.57	0.6	0.63	0.0600000000000001	0.03
ENSG00000174137	FAM53A	12	0	12	0.96	1.71	1.74	0.78	0.03
ENSG00000253485	PCDHGA5	12	0	12	0.08	0.05	0.13	0.05	0.08
ENSG00000262576	PCDHGA4	12	0	12	0.07	0.07	0.1	0.03	0.03
ENSG00000227646	STEAP2-AS1	12	0	12	0.49	0.46	0.63	0.14	0.17
ENSG00000136813	ECPAS	12	0	12	56.02	58.22	63.35	7.33	5.13
ENSG00000198753	PLXNB3	12	0	12	38.96	37.86	40.25	1.29	2.39
ENSG00000053524	MCF2L2	21	10	11	0.78	0.77	1.13	0.35	0.36
ENSG00000113763	UNC5A	16	5	11	5.86	8.97	9.16	3.3	0.19
ENSG00000119685	TTLL5	14	3	11	22.92	19.85	25.36	2.44	5.51
ENSG00000186868	MAPT	14	3	11	16.38	20.29	22.25	5.87	1.96
ENSG00000196220	SRGAP3	14	3	11	3.06	3.37	3.53	0.47	0.16
ENSG00000064393	HIPK2	14	3	11	16.34	25.32	35.65	19.31	10.33
ENSG00000074416	MGLL	13	2	11	7.11	13.51	21.25	14.14	7.74
ENSG00000111846	GCNT2	13	2	11	3.76	3.41	4.14	0.38	0.73
ENSG00000119383	PTPA	13	2	11	89.36	106.49	128.5	39.14	22.01
ENSG00000086015	MAST2	12	1	11	15.09	13.69	16.6	1.51	2.91
ENSG00000198788	MUC2	12	1	11	0.25	0.3	0.53	0.28	0.23
ENSG00000139718	SETD1B	12	1	11	5.4	6.36	7.53	2.13	1.17
ENSG00000174473	GALNTL6	12	1	11	0.31	0.37	0.62	0.31	0.25
ENSG00000075891	PAX2	11	0	11	0.12	0.04	0.22	0.1	0.18
ENSG00000111452	ADGRD1	11	0	11	1.44	1.84	2.31	0.87	0.47
ENSG00000170919	TPT1-AS1	11	0	11	5.78	5.21	7.41	1.63	2.2
ENSG00000064687	ABCA7	11	0	11	13.07	11.44	13.2	0.129999999999999	1.76
ENSG00000164093	PITX2	11	0	11	0.27	0.05	0.44	0.17	0.39
ENSG00000253731	PCDHGA6	11	0	11	0.07	0.03	0.08	0.01	0.05
ENSG00000141337	ARSG	17	7	10	9.96	14.09	16.09	6.13	2
ENSG00000141985	SH3GL1	14	4	10	47.3	61.21	100.63	53.33	39.42
ENSG00000133612	AGAP3	14	4	10	91.94	94.84	114.68	22.74	19.84
ENSG00000164855	TMEM184A	14	4	10	13.92	16.62	16.97	3.05	0.349999999999998
ENSG00000272078	AL139423.1	13	3	10	0.92	0.75	1.19	0.27	0.44
ENSG00000169760	NLGN1	12	2	10	5.27	4.61	6.95	1.68	2.34
ENSG00000228412	LNC-LBCS	12	2	10	0.29	0.14	0.55	0.26	0.41
ENSG00000105953	OGDH	12	2	10	95.08	101.59	101.65	6.57000000000001	0.0600000000000023
ENSG00000171608	PIK3CD	11	1	10	11.22	11.04	14.56	3.34	3.52
ENSG00000177169	ULK1	11	1	10	16	13.2	17.12	1.12	3.92
ENSG00000167202	TBC1D2B	11	1	10	6.25	7.54	9.39	3.14	1.85
ENSG00000157450	RNF111	11	1	10	18.15	19.65	20.96	2.81	1.31
ENSG00000176619	LMNB2	11	1	10	26.64	33.59	44.26	17.62	10.67
ENSG00000099308	MAST3	11	1	10	8.59	7.72	9.68	1.09	1.96
ENSG00000171853	TRAPPC12	11	1	10	12.37	16.35	16.67	4.3	0.32
ENSG00000179242	CDH4	11	1	10	0.07	0.15	0.16	0.09	0.01
ENSG00000163110	PDLIM5	11	1	10	22.3	18.83	30.54	8.24	11.71
ENSG00000127946	HIP1	11	1	10	12.13	17.71	23.58	11.45	5.87
ENSG00000197530	MIB2	10	0	10	21.31	16.35	21.59	0.280000000000001	5.24
ENSG00000235823	OLMALINC	10	0	10	6.51	8.62	10.81	4.3	2.19
ENSG00000177542	SLC25A22	10	0	10	43.07	28.88	46.41	3.34	17.53
ENSG00000119661	DNAL1	10	0	10	4.2	4.06	4.25	0.0499999999999998	0.19
ENSG00000121101	TEX14	10	0	10	0.1	0.09	0.28	0.18	0.19
ENSG00000172992	DCAKD	10	0	10	10.48	7.9	18.41	7.93	10.51
ENSG00000167658	EEF2	10	0	10	1896.27	2462.03	2502.79	606.52	40.7599999999998
ENSG00000085872	CHERP	10	0	10	32.85	23.72	33.83	0.979999999999997	10.11
ENSG00000105298	CACTIN	10	0	10	16.09	14.54	19.84	3.75	5.3
ENSG00000104881	PPP1R13L	10	0	10	11.02	13.93	14.66	3.64	0.73
ENSG00000025293	PHF20	10	0	10	22.14	17.57	25.01	2.87	7.44
ENSG00000156299	TIAM1	10	0	10	0.42	0.35	0.58	0.16	0.23
ENSG00000100403	ZC3H7B	10	0	10	10.7	17.14	19.03	8.33	1.89
ENSG00000100154	TTC28	10	0	10	2.17	2.08	2.33	0.16	0.25
ENSG00000276547	PCDHGB5	10	0	10	0.09	0.17	0.19	0.1	0.02
ENSG00000135540	NHSL1	10	0	10	3.14	3.68	5.23	2.09	1.55
ENSG00000148408	CACNA1B	10	0	10	0.01	0.04	0.06	0.05	0.02
ENSG00000122547	EEPD1	17	8	9	11.25	12.68	14.45	3.2	1.77
ENSG00000205356	TECPR1	16	7	9	13.71	9.53	17.99	4.28	8.46
ENSG00000076864	RAP1GAP	15	6	9	7.11	6.7	7.52	0.409999999999999	0.819999999999999
ENSG00000159674	SPON2	14	5	9	241.07	317.45	320.5	79.43	3.05000000000001
ENSG00000175115	PACS1	13	4	9	12.62	19.75	26.44	13.82	6.69
ENSG00000169372	CRADD	12	3	9	7	6.93	9.88	2.88	2.95
ENSG00000167962	ZNF598	12	3	9	68	68.95	69.13	1.13	0.179999999999993
ENSG00000183111	ARHGEF37	12	3	9	3.44	5.77	6.02	2.58	0.25
ENSG00000182175	RGMA	11	2	9	1.21	0.95	1.27	0.0600000000000001	0.32
ENSG00000178773	CPNE7	11	2	9	36.66	33	40.95	4.29000000000001	7.95
ENSG00000197774	EME2	11	2	9	4.36	4.42	5.6	1.24	1.18
ENSG00000076928	ARHGEF1	11	2	9	12.21	14.13	17.89	5.68	3.76
ENSG00000142173	COL6A2	11	2	9	15.98	15.86	20.26	4.28	4.4
ENSG00000170638	TRABD	11	2	9	43.26	42.85	51.41	8.15	8.56
ENSG00000147459	DOCK5	11	2	9	6.59	6.72	7.23	0.640000000000001	0.510000000000001
ENSG00000197265	GTF2E2	11	2	9	37.97	35.07	41.95	3.98	6.88
ENSG00000136848	DAB2IP	11	2	9	3.95	6.08	6.83	2.88	0.75
ENSG00000255508	AP002990.1	10	1	9	2.44	1.84	3.34	0.9	1.5
ENSG00000172613	RAD9A	10	1	9	16.02	12.19	18.59	2.57	6.4
ENSG00000179104	TMTC2	10	1	9	4.05	4	4.18	0.13	0.18
ENSG00000257261	AC008014.1	10	1	9	3.65	7.2	9.04	5.39	1.84
ENSG00000104897	SF3A2	10	1	9	118.38	100.86	123.72	5.34	22.86
ENSG00000099968	BCL2L13	10	1	9	36.97	31.64	37.44	0.469999999999999	5.8
ENSG00000169071	ROR2	10	1	9	0.02	0.06	0.14	0.12	0.08
ENSG00000274020	LINC01138	9	0	9	1.23	0.81	2.02	0.79	1.21
ENSG00000070759	TESK2	9	0	9	7.7	5.62	7.74	0.04	2.12
ENSG00000070366	SMG6	9	0	9	7.37	9.19	10.84	3.47	1.65
ENSG00000076984	MAP2K7	9	0	9	15.75	28.65	37.73	21.98	9.08
ENSG00000167766	ZNF83	9	0	9	16.48	13.59	19.18	2.7	5.59
ENSG00000138018	SELENOI	9	0	9	5.63	5.28	6.03	0.4	0.75
ENSG00000184402	SS18L1	9	0	9	19.18	14.36	20.92	1.74	6.56
ENSG00000069020	MAST4	9	0	9	5.81	5.7	6.34	0.53	0.64
ENSG00000186174	BCL9L	20	12	8	60.56	64.62	114.38	53.82	49.76
ENSG00000072134	EPN2	15	7	8	30.2	32.55	40.59	10.39	8.04000000000001
ENSG00000139437	TCHP	13	5	8	7.56	6.72	10.32	2.76	3.6
ENSG00000169783	LINGO1	13	5	8	1.68	2.27	3.79	2.11	1.52
ENSG00000166398	KIAA0355	13	5	8	11.99	11.58	12.9	0.91	1.32
ENSG00000111676	ATN1	12	4	8	68.4	110.41	162.62	94.22	52.21
ENSG00000175662	TOM1L2	12	4	8	41.61	35.37	45.66	4.05	10.29
ENSG00000134490	TMEM241	12	4	8	12.27	10.46	13.46	1.19	3
ENSG00000117713	ARID1A	11	3	8	28.19	35.14	45.13	16.94	9.99
ENSG00000025423	HSD17B6	11	3	8	2.1	2.47	2.99	0.89	0.52
ENSG00000111249	CUX2	11	3	8	0.03	0.04	0.08	0.05	0.04
ENSG00000258162	AC069228.1	11	3	8	0.18	0.43	0.62	0.44	0.19
ENSG00000180357	ZNF609	11	3	8	8	16.14	17.2	9.2	1.06
ENSG00000173065	FAM222B	11	3	8	10.6	12.03	19	8.4	6.97
ENSG00000056487	PHF21B	11	3	8	0.31	0.18	0.49	0.18	0.31
ENSG00000158106	RHPN1	11	3	8	12.38	11.3	14.28	1.9	2.98
ENSG00000130701	RBBP8NL	10	2	8	3.45	4.1	4.36	0.91	0.260000000000001
ENSG00000047849	MAP4	10	2	8	63.96	46.72	72.69	8.73	25.97
ENSG00000137166	FOXP4	10	2	8	16.65	26.51	29.78	13.13	3.27
ENSG00000147454	SLC25A37	10	2	8	39.7	43.27	49.18	9.48	5.91
ENSG00000100596	SPTLC2	9	1	8	5.48	5.96	7.31	1.83	1.35
ENSG00000074755	ZZEF1	9	1	8	10.49	10.34	11.55	1.06	1.21
ENSG00000141391	PRELID3A	9	1	8	1.54	1.74	2.64	1.1	0.9
ENSG00000065717	TLE2	9	1	8	9.13	8.13	9.61	0.479999999999999	1.48
ENSG00000069399	BCL3	9	1	8	50.83	44.71	63.58	12.75	18.87
ENSG00000134815	DHX34	9	1	8	3.35	5.3	6.2	2.85	0.9
ENSG00000124225	PMEPA1	9	1	8	76.69	64.03	124.06	47.37	60.03
ENSG00000146090	RASGEF1C	9	1	8	0.39	0.2	0.91	0.52	0.71
ENSG00000124496	TRERF1	9	1	8	8.63	10.89	12.37	3.74	1.48
ENSG00000228393	LINC01004	9	1	8	1.13	2.29	2.55	1.42	0.26
ENSG00000226825	LINC01509	9	1	8	0.6	0.56	0.8	0.2	0.24
ENSG00000133019	CHRM3	8	0	8	0.18	0.04	0.53	0.35	0.49
ENSG00000151849	CENPJ	8	0	8	10.71	8.45	10.73	0.0199999999999996	2.28
ENSG00000184497	TMEM255B	8	0	8	0.37	0.4	0.88	0.51	0.48
ENSG00000170779	CDCA4	8	0	8	8.41	10.25	12.4	3.99	2.15
ENSG00000166813	KIF7	8	0	8	0.63	0.81	1.36	0.73	0.55
ENSG00000177303	CASKIN2	8	0	8	4.1	3.25	5.55	1.45	2.3
ENSG00000012048	BRCA1	8	0	8	16.8	18.5	18.71	1.91	0.210000000000001
ENSG00000178297	TMPRSS9	8	0	8	0.12	0.08	0.51	0.39	0.43
ENSG00000129351	ILF3	8	0	8	146.53	143.47	151.1	4.56999999999999	7.63
ENSG00000267740	AC024592.3	8	0	8	1.52	33.7	35.64	34.12	1.94
ENSG00000099817	POLR2E	8	0	8	153.7	145.34	153.8	0.100000000000023	8.46000000000001
ENSG00000168385	SEPTIN2	8	0	8	88.45	83.54	90.08	1.63	6.53999999999999
ENSG00000171456	ASXL1	8	0	8	12.72	14.27	14.55	1.83	0.280000000000001
ENSG00000118777	ABCG2	8	0	8	0.36	0.14	0.42	0.06	0.28
ENSG00000123933	MXD4	8	0	8	24.18	25.52	33.34	9.16	7.82
ENSG00000087274	ADD1	8	0	8	55.28	71.52	84.16	28.88	12.64
ENSG00000247708	STX18-AS1	8	0	8	2.64	3.4	3.46	0.82	0.0600000000000001
ENSG00000112096	SOD2	8	0	8	18.55	16.84	22.28	3.73	5.44
ENSG00000106780	MEGF9	8	0	8	5.89	4.87	6.75	0.86	1.88
ENSG00000097007	ABL1	8	0	8	10.8	9.41	20.21	9.41	10.8
ENSG00000197976	AKAP17A	8	0	8	9.5	8.85	9.86	0.359999999999999	1.01
ENSG00000132394	EEFSEC	30	23	7	33.32	28.98	34.76	1.44	5.78
ENSG00000156113	KCNMA1	24	17	7	15.61	18.23	18.82	3.21	0.59
ENSG00000103043	VAC14	15	8	7	21.69	23.91	39.53	17.84	15.62
ENSG00000127838	PNKD	15	8	7	57.22	40.79	80.57	23.35	39.78
ENSG00000124782	RREB1	15	8	7	10.92	12.32	12.38	1.46	0.0600000000000005
ENSG00000136830	NIBAN2	15	8	7	30.58	67.02	87.87	57.29	20.85
ENSG00000149150	SLC43A1	14	7	7	114.02	93.47	118.12	4.10000000000001	24.65
ENSG00000166840	GLYATL1	12	5	7	15.5	15.22	23.93	8.43	8.71
ENSG00000261732	AL031708.1	12	5	7	0.97	1.26	1.57	0.6	0.31
ENSG00000142655	PEX14	11	4	7	14.02	18.86	20.2	6.18	1.34
ENSG00000173020	GRK2	11	4	7	66.33	77.19	97.89	31.56	20.7
ENSG00000224888	AC138028.2	11	4	7	0.31	0.23	0.57	0.26	0.34
ENSG00000069188	SDK2	11	4	7	0.05	0.25	0.32	0.27	0.07
ENSG00000260372	AQP4-AS1	11	4	7	0.54	0.97	1.5	0.96	0.53
ENSG00000039650	PNKP	11	4	7	30.43	31.39	37.32	6.89	5.93
ENSG00000143126	CELSR2	10	3	7	9.38	10.06	11.82	2.44	1.76
ENSG00000141519	CCDC40	10	3	7	2.92	2.77	3.02	0.1	0.25
ENSG00000108262	GIT1	10	3	7	30.72	36.05	51.9	21.18	15.85
ENSG00000099617	EFNA2	10	3	7	0.74	4.43	5.76	5.02	1.33
ENSG00000011304	PTBP1	10	3	7	161.6	164.59	194.25	32.65	29.66
ENSG00000074047	GLI2	10	3	7	0.03	0.25	0.31	0.28	0.06
ENSG00000176597	B3GNT5	10	3	7	0.47	0.3	0.88	0.41	0.58
ENSG00000116604	MEF2D	9	2	7	15.67	15.82	19.56	3.89	3.74
ENSG00000136167	LCP1	9	2	7	62.91	64.05	70.53	7.62	6.48
ENSG00000165475	CRYL1	9	2	7	22.75	18.45	35.16	12.41	16.71
ENSG00000139865	TTC6	9	2	7	28.5	37.11	40.22	11.72	3.11
ENSG00000104059	FAM189A1	9	2	7	1.65	0.97	1.94	0.29	0.97
ENSG00000136378	ADAMTS7	9	2	7	1.29	1.59	2.09	0.8	0.5
ENSG00000157350	ST3GAL2	9	2	7	3.07	2.73	3.16	0.0900000000000003	0.43
ENSG00000108669	CYTH1	9	2	7	14.66	15.57	17.07	2.41	1.5
ENSG00000132510	KDM6B	9	2	7	23.2	24.21	33.5	10.3	9.29
ENSG00000129646	QRICH2	9	2	7	16.92	21.24	26.99	10.07	5.75
ENSG00000161914	ZNF653	9	2	7	7.83	7.54	8.78	0.949999999999999	1.24
ENSG00000160282	FTCD	9	2	7	1.33	0.59	2.64	1.31	2.05
ENSG00000113916	BCL6	9	2	7	25.63	23.99	29.53	3.9	5.54
ENSG00000131844	MCCC2	9	2	7	19.62	20.93	37.4	17.78	16.47
ENSG00000283782	AC116366.3	9	2	7	1.36	0.36	1.78	0.42	1.42
ENSG00000198771	RCSD1	8	1	7	0.03	0.12	0.15	0.12	0.03
ENSG00000188807	TMEM201	8	1	7	10.6	12.59	16.06	5.46	3.47
ENSG00000060656	PTPRU	8	1	7	8.98	10.09	10.84	1.86	0.75
ENSG00000151532	VTI1A	8	1	7	5.81	5.25	6.3	0.49	1.05
ENSG00000110497	AMBRA1	8	1	7	7.64	7.48	8.89	1.25	1.41
ENSG00000177595	PIDD1	8	1	7	15.87	20.62	21.49	5.62	0.869999999999997
ENSG00000196091	MYBPC1	8	1	7	0.96	1.69	3.92	2.96	2.23
ENSG00000153233	PTPRR	8	1	7	1.48	1.05	1.95	0.47	0.9
ENSG00000136169	SETDB2	8	1	7	3.72	4.39	4.52	0.799999999999999	0.13
ENSG00000198807	PAX9	8	1	7	8.01	5.49	9.73	1.72	4.24
ENSG00000133961	NUMB	8	1	7	25.73	32.23	40.45	14.72	8.22000000000001
ENSG00000165914	TTC7B	8	1	7	27.59	40.77	44.54	16.95	3.77
ENSG00000285043	AC093512.2	8	1	7	5.04	3.16	5.51	0.47	2.35
ENSG00000174238	PITPNA	8	1	7	55.12	64.97	79.13	24.01	14.16
ENSG00000141068	KSR1	8	1	7	1.41	1.38	2.46	1.05	1.08
ENSG00000128487	SPECC1	8	1	7	26.04	27.23	32.56	6.52	5.33
ENSG00000161031	PGLYRP2	8	1	7	1.14	0.89	1.91	0.77	1.02
ENSG00000089351	GRAMD1A	8	1	7	45.84	53.78	53.98	8.13999999999999	0.199999999999996
ENSG00000088002	SULT2B1	8	1	7	4.54	5.43	5.62	1.08	0.19
